Date,Open,High,Low,Close,Volume
2022-01-03,415.3178,418.2083,409.1757,409.8983,6021146.0
2022-01-04,411.3435,413.692,402.3109,406.4659,13562081.0
2022-01-05,399.6012,401.0464,387.4975,388.9427,31926972.0
2022-01-06,380.2714,394.9042,380.2714,394.7236,22394447.0
2022-01-07,401.9496,405.0207,395.9881,400.1431,20813417.0
2022-01-10,404.6594,412.9694,399.6012,409.3563,19560762.0
2022-01-11,413.692,417.305,410.2596,415.4985,16405167.0
2022-01-12,426.1569,434.2863,423.8085,434.2863,28274536.0
2022-01-13,438.9832,438.9832,426.6989,429.228,18308659.0
2022-01-14,417.305,428.3248,417.305,427.6021,13722780.0
2022-01-17,426.3376,427.9634,419.1115,420.5567,12682742.0
2022-01-18,422.5439,425.4343,407.1885,408.995,23537795.0
2022-01-19,409.1757,413.692,406.4659,411.7048,17490032.0
2022-01-20,411.3326,439.2511,411.3326,438.8788,29536303.0
2022-01-21,436.2731,445.207,434.598,441.8568,26820113.0
2022-01-24,437.3898,440.7401,433.4812,437.0176,14677184.0
2022-01-25,427.5253,435.5286,427.5253,434.4119,24998708.0
2022-01-26,437.3898,443.5319,433.6674,440.7401,21619270.0
2022-01-27,432.7367,434.598,426.0363,430.8755,20507145.0
2022-01-28,430.8755,431.8061,423.989,428.0837,15027473.0
2022-01-31,429.3865,439.6233,427.153,439.2511,11429491.0
2022-02-04,449.4878,449.4878,438.3204,445.7654,15930509.0
2022-02-07,448.5572,448.5572,437.576,444.8348,15382223.0
2022-02-08,441.6707,442.9735,436.4592,437.3898,18754239.0
2022-02-09,446.696,450.0462,443.5319,449.3017,23365228.0
2022-02-10,454.1409,454.1409,442.7874,450.7907,18808693.0
2022-02-11,445.5793,450.0462,439.6233,443.9041,15523403.0
2022-02-14,437.576,439.8094,433.109,439.2511,12861260.0
2022-02-15,439.2511,441.6707,434.0396,437.3898,13889441.0
2022-02-16,443.9041,443.9041,438.5066,443.1597,12209598.0
2022-02-17,443.1597,446.3238,439.2511,445.7654,12923901.0
2022-02-18,445.7654,449.3017,435.5286,437.3898,24032950.0
2022-02-21,431.9923,434.4119,410.0297,414.4967,46042457.0
2022-02-22,402.2125,414.3105,402.2125,413.9383,30562929.0
2022-02-23,411.7048,420.0804,411.7048,414.1244,20241593.0
2022-02-24,405.935,409.0991,394.2092,398.1178,33972108.0
2022-02-25,402.3986,408.5407,391.0451,394.5815,25527592.0
2022-02-28,390.859,395.8843,385.6475,391.9757,26849319.0
2022-03-01,391.9757,408.5407,391.2312,401.0958,19308969.0
2022-03-02,397.3733,404.6321,393.4647,394.0231,14011686.0
2022-03-03,393.4647,396.8149,386.5782,389.7423,19870075.0
2022-03-04,375.0385,378.0165,372.2467,375.2246,41553093.0
2022-03-07,362.0099,369.6409,354.5649,361.0793,39878587.0
